Tagalog,Part of Speech,Definition
amba,n,threatening gesture
amba,n,uncle
ambaan,v,make threatening gestures
ambaan,n,threatening gestures between two or more
ambag,n,contribution
ambagan,v,give a contribution
ambagan,n,contribution by several
ambasador,n,ambassador
ambi,n,1. eaves; gable-end; 2. awning
ambil,n,1. different interpretation from that intended; 2. pet name; 3. repetition of word/expression
ambilan,v,1. give a pet name; 2. interpret an expression on a different way
ambisiyon,n,ambition; aspiration
ambisyon,n,ambition; aspiration
ambisyosa,adj,ambitious
ambisyoso,adj,ambitious
ambon,n,shower; drizzle; light rain
ambos,1,"adj., 2. n 1. both; both together (in sharing); 2. consolation prize in sweepstakes [coll.]"
ambulansiya,n,ambulance
ambulog,n,soaring in flight
ambunin,n,get wet by a drizzle or light rain
ambus,n,ambush
ambuwang,n,large beetle
ambwang,n,large beetle
amen,n,kissing the hand of elders as a sign of respect
Amen,rel,Amen
Amerika,n,America
amerikana,n,coat for men
Amerikana,n,American (female)
Amerikano,n,American (male)
Amerisyum,n,Americium (Am)
amihan,n,cool northeast wind
amil,adj,mumbling
amil,n,mumble; murmur
amilyaramyento,n,land tax
amin,pron,our; ours
amina,imp,give it to us!
aming sarili,pron,ourselves
aminin,v,1. own up; 2. admit; 3. confess
amiray,n,ramie; China grass (used for making fabrics)
amirol,n,starch
amirulan ang labada,v,starch clothes
amis,adj,oppressed; offended
amisin,v,"oppress or offend, esp. because of spite"
amistad,n,friendship
amnesya,n,amnesia
amnistia,n,amnesty
amnistya,n,amnesty
amo,n,1. tameness; 2. coaxing; supplication
amo,n,master; employer; boss
amok,1,n.; 2. adj./adv. 1. amok; amuck; 2. in a frenzy state
amol,n,"dirt or filth on skin, face or surface"
among,n,reference to a priest (with respect)
amonya,n,ammonia
amor,n,love; affection; esteem
amor-propio,n,self-love
amor-propyo,n,self-love
amores,n,1. love affair; 2. unpleasant odour (US: odor)
amoritis,n,love-sickness (slang)
amorseko,n,burry lovegrass (Eragrostis spectabilis)
amortisasyon,n,mortgage installment
amos,n,dirt on the face
amot,n,something bought at cost price
amoy,n,1. smell; 2. scent; aroma; 3. odour (US: odor)
amoy-amag,adj,having a musty smell
ampalaya,n,balsam apple; bitter gourd (Echinocystis lobata)
ampang,n,toddle (such as that of infants)
ampat,adj,"checked; stopped (as bleeding, crying, etc.)"
ampatin,v,stop; check; dam up
ampaw,n,puffed rice or corn
ampayer,n,umpire
ampayr,n,umpire
ampias,n,"rain entering through open windows, doors or cracked walls"
ampibyan,n,amphibian
ampil,n,dividing wall (in a house)
ampiteatro,n,amphitheatre
ampiyas,n,"rain entering through open windows, doors or cracked walls"
ampiyon,n,opium
amplipayer,n,amplifier
ampolyas,n,ampule used as container for medicine to be injected
ampon,n,adopted child
ampunan,n,orphanage; orphan asylum
ampunin,v,1. adopt; 2. protect
amputasyon,n,amputation
ampyon,n,opium
amu-amuin,v,coax gently and repeatedly
amuin,v,coax
amuk,1,n.; 2. adj./adv. 1. amok; amuck; 2. in a frenzy state
amuki,n,inducement; persuasion; urging
amukiin,v,1. induce; persuade; 2. advise; counsel
amusal,n,breakfast
amusin,adj,always having a dirty face
amutin,v,try to buy something at cost price
amuyan,v,1. smell; get the scent of; 2. nose about [fig.]; pry into
amuyin,v,snuff; sniff; smell
an-an,n,white spots on the skin; acne
anabyong,n,small tree (used in manufacturing wooden shoes)
anag-ag,n,1. glimmer; faint light; 2. [fig.] vague idea
anahaw,n,palm (kind of)
anak,n,"1. child; 2. progeny; 3. son (man attached to a country, cause, etc.)"
anak,n,relative; family; lineage; kin
anak na ampon,comp,adopted child
anak na babae,comp,daughter
anak na bugtong,comp,an only child
anak na bunso,comp,youngest child
anak na lalaki,comp,son
anak na pangaman,comp,stepchild
anak na panganay,comp,first-born child
anak na panguman,comp,stepchild
anak sa labas,comp,bastard; child whose parents are not married
anak sa ligaw,comp,bastard; child whose parents are not married
anak sa puwera,comp,bastard; child whose parents are not married
anak-anakan,n,foster child
anak-araw,n,albino
anak-dalita,n,person born in poverty and misery
anak-pawis,n,son of the labouring (US: laboring) class
anakan,adj,having many children
anaki,1,adv.; 2. adj. 1. seemingly; apparently; 2. similar
anakin,v,1. adopt someone; 2. act as sponsor in baptism
anaklang,n,scorpion
anakle,n,"wood, used in carving statues, etc."
anakonda,n,anaconda; very large boa
analisahin,v,analyse (US: analyze)
analisis,n,analysis
analohiya,n,analogy
anan,n,white spots on the skin; acne
anang,expr,1. it is said; 2. according to
ananin,inanan,"aananin) v., inf. have white spots on one's skin"
anarki,n,anarchy
anarkiko,adj,anarchical
anarkismo,n,anarchism
anarkista,n,anarchist
anarkiya,n,anarchy
anarkya,n,anarchy
anas,n,low tone of speech; whisper
anasan,n,conversation in a low tone or whisper
anatomia,n,anatomy
anatomiya,n,anatomy
anatomya,n,anatomy
anay,n,white ant; termite
anayad,adj,1. suave; 2. serene
anayin,v,be eaten by white ants
"anayo, anayo",n,1. urticaria; 2. allergy
andaderas,n,go-cart (small wheeled vehicle for babies)
andador,n,baby-walker
andam,n,1. premonition; 2. intuition
andamyo,n,gangplank (for boats)
andamyuhan,v,attach a gangplank (from boat to shore)
andana,n,tier (one layer on top of another)
andanahan,v,arrange in tiers
andante,n,andante (music played moderately slow)
andap,n,1. glimmer; shimmer; 2. flicker of a low flame before extinction
andar,n,1. operation; functioning; working; 2. activity
andas,n,1. bier with shafts; 2. stand for statues of saints
anden,n,platform at a railway station
anderpas,n,underpass for pedestrians
andon,v,is there; was there [pseudo-verb]
andoon,v,is there; was there [pseudo-verb]
andoroon,v,is there; was there [pseudo-verb]
anduka,n,solicitude and nurture given to persons and animals
andukha,n,solicitude and nurture given to persons and animals
andukhain,v,rear; nourish; (esp. a helpless person or animal)
anekdota,n,anecdote (short account of some interesting)
anemik,adj,anemic; lacking blood
anemika,adj,anemic; lacking blood
anemya,n,anemia; lack of blood
anestesiko,n,anaesthetic; anesthetic
anestesya,n,anaesthesia
anestetik,n,anaesthetic; anesthetic
anestetista,n,anesthetist; anaesthetist
ang,gram,"corresponds to ""the"""
ang isa,gram,"1. a/an; 2. the other (one is blue, the other is green) [indef. article]"
ang isa sa isa,comp,individually; each from the others
Ang Ispiker,n,"The Speaker (presiding officer, as in Congress)"
ang may-panukala,comp,person responsible for another person or thing
ang may-utang,comp,borrower; debtor
ang pinagsasabi,n,allegation; assertion without proof
ang sinasabi,n,allegation; assertion without proof
ang-ang,adj,stammering; stuttering
anga,adj,"agape, or open-mouthed"
angal,n,prolonged crying because of pain or complaint
angalan,v,cry loudly; complain with howling
angas,adj,proud; arrogant; haughty
angat,adj,1. raised slightly; 2. not well adjusted
angatin,v,lift up slightly
angaw,adj,million
anggarilyas,n,handbarrow
anggi,n,spatter of rain coming through windows or cracks and holes in walls
anggo,n,peculiar odour (US: odor) of fermenting milk or uncooked no longer fresh meat
anggular,adj,angular
anggulo,n,angle
anghang,n,pungency; sharpness in taste or smell; piquancy
anghangan,v,put something pungent into food
anghel,n,angel; cherub
anghel na tagatanod,comp,guardian angel [n]
anghina,n,1. angina; angina pectoris; 2. quinsy
anghit,n,repulsive odour (US: odor)
angi,n,odour (US: odor) of burnt rice
angil,adj,querulous; peevish
angil,n,"1. snarl of a dog, with teeth showing; 2. snarl of a person; sharp growl"
angilan,v,"1. growl, snarl; 2. speak in a sharp angry tone"
angis,n,repulsive odour (US: odor) of excreta or putrified food
angkak,n,leaven (kind of)
angkakan,v,put leaven in something
angkan,n,1. clan; 2. tribe; race; 3. descent; 4. stock; 5. special class
angkanan,n,descendant
angkas,adj,"riding with someone in the same vehicle, horseback, etc.; getting a lift"
angkasan,v,ride with someone on a vehicle or animal
angkat,n,1. import; 2. merchandise bought on credit
angkatan,n,1. agreement concering consignment of goods; 2. source of consigned merchandise
angkatin,v,import
angkin,n,claim; demand for one's own right
angkinin,v,1. claim; 2. adopt; 3. possess; 4. encroach
angkla,n,anchor
angkop,adj,1. suitable; 2. fitting; 3. apt; 4. proper; 5. in place; 6. propitious; 7. apposite
angkora,n,anchor
angkupan,v,arrange; adapt
angkupan,v,arrange; adapt
anglaw,n,rinsing of clothes
anglawan,v,rinse clothes
anglit,n,small cooking pot made of clay
anglo,n,rattan holder for carrying pots
ango,n,peculiar odour (US: odor) of fresh meat or fish
angot,n,disagreeable odour (US: odor); stench peculiar to stagnant liquids
anhin,v,do something with (idiomatic)
ani,expr,"said by (ani Maria, Mary said: -) [idiomatic]"
ani,n,crop; harvest
aniban,v,be allied or affiliated with
anibersaryo,n,anniversary
anidrita,n,anhydrite
anihan,v,1. be harvested; 2. yield; produce
anihan,n,season for harvet; harvest
anihin,v,harvest; reap in moral sense
aniko,expr,I said (contraction)
anila,expr,they said [contraction]
anila,n,honeycomb
anilan,n,honeybee
anilyo,n,ring; small hoop
anim,n,six (6)
anim na beses,comp,sixfold; six times as much
animado,adj,lively; encouraged
animal,adj,1. peculiar to an animal (animal instrinct); 2. bestial or sensual
animal,n,1. animal; 2. brutal or sensual person
animas,n,ringing of church bells in evening for the dead
animasyon,n,animation; liveliness
animo,n,1. spirit; soul; 2. courage; 3. fortitude; 4. will; will power
animo,prep,like; seems like
animo'y,prep,like; seems like
aninag,adj,1. transparent; 2. visible through a transparent medium
aninagin,v,peer at; look closely; squint at
aninaw,adj,1. visible through a haze; 2. discernible
aninaw,n,discernment
aninawin,v,"1. see with difficulty (because of darkness, etc.); 2. discern (through haze, etc.)"
anino,n,1. shadow; 2. image or reflection
aninuhan,v,shade a drawing or painting
anis,n,tiny aromatic seeds used as flavouring (US: flavoring)
anit,adj,shaved close to the scalp
anit,n,scalp
anitan,v,shave the head
anitin,v,shave the hair close to the scalp
anito,n,1. idolatry; 2. idol; 3. superstitious custom
aniya,expr,he said; she said
anlalawa,n,house spider
anlaw,n,last rinsing of clothes
anlawan,v,give clothes a final rinsing
anluagi,n,carpenter
anluwagi,n,carpenter
ano,interrog,"1. what; 2. used to show surprise, dislike and other feelings"
ano man,comp,1. whatever; no matter what; 2. aught; 3. any
ano naman,interrog,whatever
anod,n,1. flotsam; 2. overflow of water over something
anomalia,n,anomaly
anomalo,adj,anomalous
anomalya,n,anomaly
anoman,pron,1. whatever; no matter what; 2. aught; 3. any
anomometro,n,anemometer
anonima,adj,anonymous
anonimo,adj,anonymous
anos,adj,burnt; overcooked (food)
anot,adj,"close-clipped; close-cut (hair, grass)"
ansikot,n,loitering
ansikutero,n,laggard; loiterer
anta,n,rancidity
antabay,n,slowing down to wait for someone to catch up
antabayanan,v,"slow down, waiting for someone to come abreast"
antak,n,stinging pain
antala,n,delay; procrastination; hindrance
antalahin,v,delay; hinder; wait; put off
antanda,n,sign of the cross
antangan,n,design
Antartiko,n,Antarctica (south polar region)
antas,n,1. circumference; 2. degree of progress; 3. academic degree; 4. degree in a scale; 5. grade in rank
antas-antas,adv,1. little by little; 2. bit by bit; 3. gradually
Antay,intrj,Wait!
antayin,v,wait for
ante-sala,n,anteroom; waiting room
antem,n,anthem
antemano,adv,beforehand
antena,n,1. antenna; 2. feelers (zoo.); 3. pentode
antenang likaw,comp,antenna
Anti-cristo,n,Antichrist
antibady,n,antibody
antibayotik,n,antibiotic
Anticristo,n,Antichrist
antidot,n,antidote
antidoto,n,antidote
antig,n,friendly reminder
antigin,v,1. give a friendly reminder; 2. affect; move the heart
antigo,adj,antique; ancient
antiklina,n,anticline (geology)
antimano,adv,beforehand
Antimony,n,Antomony (Sb)
anting-anting,n,1. amulet; fetish; 2. talisman
antipatia,n,antipathy; dislike
antipatika,adj,displeasing; disagreeable; unfriendly
antipatiko,adj,displeasing; disagreeable; unfriendly
antipatiya,n,antipathy; dislike
antipatya,n,antipathy; dislike
antipolo,n,species of tree with timber of group 3
antiseptik,n,antiseptic
antiseptiko,n,antiseptic
antisipo,n,advance payment
antitoksin,n,antitoxin
antitoksina,n,antitoxin
antok,n,drowsiness; sleepiness
antolohia,n,anthology; collection of poems or prose
antolohiya,n,anthology; collection of poems or prose
antot,n,repulsive odour (US: odor) of stagnant water
antraks,n,anthrax
antrasita,n,antracite (geology)
antropologo,n,anthropologist
antropolohia,n,anthropology
antropolohiya,n,anthropology
antukin,v,be overcome by drowsiness or spleepiness
antukin,adj,always drowsy or sleepy
anu-ano,pron,what (followed by a plural)
Anuba,intrj,what now?; hello!; what's the matter now? [diff. meanings]
anuhin,v,do something with [idiomatic]
anuman,expr,"aught; anything [abbr. of ""ano man""]"
anuman ang mangyari,comp,anyway; no matter what happens
anunas,n,sugar apple (tropical fruit)
Anunsiyasyon,n,festival held on March 25
anunsiyo,n,1. advertisement; 2. announcement; public notice
anurin,v,be carried away by a current of water
anutin,v,cut close (hair or grass)
anwal,adj,annual; yearly
anwang,n,carabao
anyaya,n,invitation
anyayahan,v,"invite; ask someone to a party, etc."
anyeho,1,adj.; 2. n. 1. old; stale; 2. old wine
anyo,n,1. form [mat.]; 2. presence; 3. phase (e.g. moon); 4. figure; 5. gesture or position of body
anyo,n,year
anyuin,v,take the form of something
apa,adj,1. groping; 2. pilfered; stolen [fig.]
apa,n,thin wafer made of rice starch; ice cream wafer
apad,n,1. flank of the body of an animal; 2. ribs of animals with the meat used for food
apad,n,pain in the side
apahap,n,species of sea bass
apain,v,1. grope for some specific thing; 2. steal some small thing [fig.]
apak,adj,1. barefooted; 2. trodden on
apak,n,tread; step
apakan,v,tramp or tread on
apalit,n,sandalwood tree
apalya,n,balsam apple; bitter gourd (Echinocystis lobata)
apanas,n,very tiny red ant
aparador,n,closet; dresser; wardrobe
aparador ng mga libro,comp,bookcase
aparatista,n,operator (one who runs in motion a machine)
aparato,n,apparatus; tackle; equipment
aparin,v,suffer pain in the side
aparisyon,n,apparition; appearance of a supernatural being
apartment,n,apartment
apasyonado,adj,passionate; impassioned
apat,n,four (4)
apat-apat,adj,four by four
apatan,adj,four by four
apatan,n,1. quadruplet; 2. group of four
apatang gilid,comp,quadrilateral; with four sides
apatang taludtod,comp,quatrain; stanza with four lines
apatia,n,apathy
apatin,v,"make four, or divide into four equal parts"
apatita,n,apatite (geology)
apatiya,n,apathy
apatnapu,n,forty (40)
apatya,n,apathy
apaw,adj,overflowing; inundated
apaw,adj,dumb
apaw,n,1. overflow; 2. inundation; flood
apawan,v,be flooded; be covered by an overflow
apdo,n,gall (liquid secreted in the liver)
apelahan,v,appeal; appeal to a higher court
apelasyon,n,appeal to a higher court
apelyido,n,surname; family name
apendiks,n,appendix
apendise,n,"appendix (addition at the end of document, etc.)"
apendisitis,n,appendicitis
aperkat,n,uppercut (pugilistic term)
api,adj,oppressed; downtrodden; maltreated
api-apihan,adj,oppressed; downtrodden
apid,n,adultery
apidabit,n,affidavit; written statement sworn to be true
apido,n,zoo. aphid; plant louse
apihin,v,1. offend or aggrieve; injure unjustly; 2. bully; browbeat; persecute
apinado,adj,tuned; attuned
apinador,n,tuner
apinahin,v,tune a musical instrument
apinasyon,n,state of being tuned or in tune
apinidad,n,affinity
apirmatiba,adj,affirmative
apirmatibo,adj,affirmative
apisyon,n,inclination; talent
apisyunada,1,"n.; 3. adj. 1. amateur; 2. person interested in sports, movies, etc. (fan); 3. talented"
apisyunado,1,"n.; 3. adj. 1. amateur; 2. person interested in sports, movies, etc. (fan); 3. talented"
apitong,n,species of tree producing timber
aplaya,n,beach; sandy beach; seashore
aplayan,v,appply for
aplikante,n,applicant
aplikasyon,n,application
aploramiyento,n,outcrop (petro)
apo,n,grandchild
apo,n,term used out of respect for old people
apo sa pamangkin,comp,grandnephew; grandniece
apo sa sakong,comp,great-great-grandchild
apo sa talampakan,comp,great-great-great-grandchild
apo sa tuhod,comp,great-grandchild
apog,n,lime
apog na galing sa bulaklak ng bato,comp,coral limestone
